Date,open,high,low,close,volume
2014-01-28,132.625,132.6875,132.09375,,318889.0
2014-01-29,132.3125,133.75,132.03125,,474243.0
2014-01-30,133.53125,133.59375,132.78125,,294572.0
2014-01-31,133.1875,133.96875,133.0625,133.9,354161.0
2014-02-03,133.75,135.09375,133.4375,,393492.0
2014-02-04,134.90625,135.0625,134.0,,314795.0
2014-02-05,134.0625,134.5,133.3125,134.0625,380208.0
2014-02-06,133.4375,133.59375,132.875,133.4375,307674.0
2014-02-07,133.09375,134.0625,132.375,133.09375,378110.0
