,open,high,low,close,volume
1991-01-02,95.5,96.3438,95.5,96.3438,1516.0
1991-01-03,96.25,97.0312,96.25,96.7188,2709.0
1991-01-04,96.6875,96.8125,95.5938,95.8125,1135.0
1991-01-07,95.4375,95.4375,94.625,94.6875,2513.0
1991-01-08,94.6875,95.1562,94.0625,94.1562,6938.0
1991-01-09,94.0625,95.375,93.1875,93.25,6962.0
1991-01-10,93.3125,94.1875,93.2812,94.1562,3659.0
1991-01-11,94.4062,94.625,93.6875,94.125,1818.0
1991-01-14,93.6875,93.8125,93.0625,93.5625,14581.0
1991-01-15,93.9062,94.0938,93.5312,93.5625,2464.0
1991-01-16,93.6875,93.9062,93.3125,93.7188,17369.0
1991-01-17,93.6875,96.2812,92.8438,96.0938,21884.0
1991-01-18,95.9688,96.4062,94.9062,96.2188,3950.0
1991-01-21,95.9375,96.1562,95.6875,95.75,1911.0
1991-01-22,95.7812,95.8438,95.2812,95.5312,8249.0
1991-01-23,95.3125,95.875,95.3125,95.8125,3084.0
1991-01-24,95.9375,96.2812,95.8125,96.1875,7049.0
1991-01-25,96.2812,96.4375,95.4062,95.4375,3097.0
1991-01-28,95.5312,95.75,95.4375,95.6562,1009.0
1991-01-29,95.6875,96.0,95.625,95.9062,8613.0
1991-01-30,95.9062,96.125,95.5312,95.625,8283.0
1991-01-31,95.6875,95.9375,95.5,95.7812,8027.0
1991-02-01,95.875,97.0625,95.7812,96.9375,19792.0
1991-02-04,96.9375,97.25,96.6562,97.2188,3751.0
1991-02-05,97.25,97.7812,97.1875,97.5312,10733.0
1991-02-06,97.4688,97.625,97.1562,97.625,11814.0
1991-02-07,97.7188,97.9062,97.0938,97.125,6568.0
1991-02-08,97.0625,98.125,96.9688,97.9375,7987.0
1991-02-11,97.9375,98.2188,97.6562,97.6875,5866.0
1991-02-12,97.7812,98.0625,97.5625,97.8125,16839.0
1991-02-13,97.8125,98.0938,97.5938,97.7188,14028.0
1991-02-14,97.8125,97.9375,97.375,97.4375,15681.0
1991-02-15,97.4688,98.0,97.2188,97.6875,23768.0
1991-02-19,97.7812,97.7812,97.3438,97.4062,15777.0
1991-02-20,97.375,97.5312,96.8438,96.9688,22427.0
1991-02-21,96.9375,97.3438,96.75,96.8438,18574.0
1991-02-22,96.6875,97.0625,96.4375,96.5625,41883.0
1991-02-25,96.875,96.9375,96.4688,96.8438,22944.0
1991-02-26,97.0625,97.0625,95.9062,96.0,48663.0
1991-02-27,96.0312,96.0938,95.6875,95.9375,67604.0
1991-02-28,96.0,96.25,95.375,95.5312,294204.0
1991-03-01,95.4062,95.4062,94.4062,94.5625,452212.0
1991-03-04,94.5625,94.9688,94.5,94.5625,171527.0
1991-03-05,94.5,95.0938,94.3438,94.8438,231406.0
1991-03-06,95.0,95.2188,94.5938,94.75,273166.0
1991-03-07,94.7188,95.4062,94.6562,95.3125,249257.0
1991-03-08,95.375,95.7188,94.4062,94.4375,529347.0
1991-03-11,94.3438,95.25,93.9688,95.25,259347.0
1991-03-12,95.25,95.5,94.875,94.9062,256402.0
1991-03-13,94.9062,95.5938,94.7812,95.5625,294650.0
1991-03-14,95.6562,95.7812,95.2188,95.5938,276344.0
1991-03-15,95.4688,95.5938,94.4375,94.625,363357.0
1991-03-18,94.625,94.75,94.0625,94.25,216893.0
1991-03-19,94.3125,94.4688,93.125,93.4375,379965.0
1991-03-20,92.9062,93.4062,92.8438,93.2812,1910.0
1991-03-21,93.4375,93.8438,93.4062,93.625,847.0
1991-03-22,93.6562,93.7812,93.375,93.75,381.0
1991-03-25,93.9062,94.0625,93.75,93.8125,2234.0
1991-03-26,93.8125,94.0,93.4375,94.0,1015.0
1991-03-27,94.0625,94.5625,93.9375,94.4688,1046.0
1991-03-28,94.5,94.875,94.375,94.7812,894.0
1991-04-01,94.4688,94.875,94.4375,94.625,2506.0
1991-04-02,94.5625,94.9688,94.5312,94.875,565.0
1991-04-03,94.9062,94.9062,94.6562,94.8438,722.0
1991-04-04,94.75,95.5,94.6562,95.375,6417.0
1991-04-05,95.3438,95.8438,95.1875,95.4688,4149.0
1991-04-08,95.5312,95.7812,95.5312,95.6562,1720.0
1991-04-09,95.6875,95.6875,95.1562,95.1875,5213.0
1991-04-10,95.0938,95.1562,94.3438,94.375,2328.0
1991-04-11,94.5938,94.8438,94.25,94.4688,2990.0
1991-04-12,94.6875,95.6875,94.6562,95.6875,2811.0
1991-04-15,95.6875,96.4375,95.6875,96.125,4634.0
1991-04-16,96.125,96.25,95.8125,96.0312,2830.0
1991-04-17,96.125,96.5938,96.125,96.25,1871.0
1991-04-18,96.3125,96.3125,95.4375,95.5938,10513.0
1991-04-19,95.5,95.5938,94.9375,95.0,3861.0
1991-04-22,94.7812,94.9375,94.4062,94.5,1472.0
1991-04-23,94.5,95.0,94.5,94.75,3582.0
1991-04-24,94.8438,95.5,94.7812,95.3438,3202.0
1991-04-25,95.375,95.5938,95.0312,95.1875,8180.0
1991-04-26,95.1562,95.5,94.5625,95.4688,3317.0
1991-04-29,95.4688,95.7812,95.2188,95.2812,1621.0
1991-04-30,95.3438,95.8438,95.0625,95.625,13549.0
1991-05-01,95.7812,95.9062,95.4375,95.7812,5320.0
1991-05-02,95.875,96.25,95.8438,96.1562,4549.0
1991-05-03,96.2812,96.375,95.3125,95.4375,13814.0
1991-05-06,94.7812,95.3438,94.7812,95.3438,1535.0
1991-05-07,95.4688,95.625,95.1562,95.2812,2000.0
1991-05-08,95.2188,95.5312,95.0,95.2812,4543.0
1991-05-09,95.375,95.5938,95.0625,95.3125,6420.0
1991-05-10,95.4375,95.5625,93.9062,93.9688,6937.0
1991-05-13,94.25,94.7188,94.25,94.6562,21396.0
1991-05-14,94.75,94.8125,93.6875,93.8438,15778.0
1991-05-15,94.0,94.3125,93.9062,93.9688,7615.0
1991-05-16,94.0938,94.4375,94.0625,94.1562,6409.0
1991-05-17,94.0625,94.9688,93.5312,94.75,17116.0
1991-05-20,94.6875,94.75,94.5,94.5938,4728.0
1991-05-21,94.75,95.0625,94.4688,95.0625,21690.0
1991-05-22,95.0312,95.1875,94.75,94.8438,10857.0
1991-05-23,94.8125,95.0,94.3125,94.4688,31943.0
1991-05-24,94.5,94.7188,94.2188,94.5,7941.0
1991-05-28,94.625,94.9062,94.5625,94.8125,30416.0
1991-05-29,94.7812,95.0,94.6875,94.75,18486.0
1991-05-30,94.6875,95.5,94.625,95.4375,44780.0
1991-05-31,95.4375,95.4688,94.6562,94.9688,57332.0
1991-06-03,94.9375,95.0,94.1875,94.25,255666.0
1991-06-04,94.2188,94.5,94.0625,94.2188,234154.0
1991-06-05,94.2812,94.3125,93.625,93.7188,335549.0
1991-06-06,93.75,93.9062,93.2812,93.5,288649.0
1991-06-07,93.4688,93.5,92.5938,92.875,445727.0
1991-06-10,92.9062,93.125,92.7812,92.875,138173.0
1991-06-11,92.9062,93.125,92.5625,93.0,217239.0
1991-06-12,92.9688,93.0,92.1562,92.2812,357728.0
1991-06-13,92.2188,92.5938,91.5625,92.5,410715.0
1991-06-14,92.5312,93.0938,92.5312,93.0,259308.0
1991-06-17,93.125,93.25,92.7812,92.8125,130289.0
1991-06-18,92.7812,93.2188,92.5625,92.5938,329252.0
1991-06-19,92.5938,92.7188,92.375,92.625,227887.0
1991-06-20,91.9688,92.6562,91.9062,92.2812,392.0
1991-06-21,92.375,92.4375,91.7812,91.875,637.0
1991-06-24,91.9062,92.1562,91.5938,91.9375,541.0
1991-06-25,91.9375,92.125,91.625,91.9688,358.0
1991-06-26,91.9688,92.3125,91.9062,91.9375,309.0
1991-06-27,92.0,92.3438,91.8125,92.2188,292.0
1991-06-28,92.2188,93.125,92.2188,92.9062,1774.0
1991-07-01,93.0312,93.125,92.6562,92.7812,3924.0
1991-07-02,92.75,92.7812,92.5938,92.7812,2592.0
1991-07-03,92.75,93.0,92.5625,93.0,2124.0
1991-07-05,93.0,93.0312,92.0,92.0625,2013.0
1991-07-08,92.0,92.1562,91.875,92.0938,2262.0
1991-07-09,92.1562,92.1875,91.8438,91.875,10499.0
1991-07-10,91.875,92.125,91.7812,92.0312,923.0
1991-07-11,92.125,92.625,92.0,92.625,1249.0
1991-07-12,92.6875,93.2812,92.5938,93.0938,3825.0
1991-07-15,93.0,93.125,92.7188,93.0938,2464.0
1991-07-16,92.9688,93.1562,92.8438,93.0,3004.0
1991-07-17,93.0,93.1562,92.5938,92.625,1879.0
1991-07-18,92.4688,92.7188,92.4375,92.5938,708.0
1991-07-19,92.7188,93.0,92.7188,92.8125,514.0
1991-07-22,92.7812,92.9375,92.625,92.9062,354.0
1991-07-23,92.875,92.875,92.5312,92.5625,1999.0
1991-07-24,92.5312,93.4375,92.5312,93.4062,3932.0
1991-07-25,93.4062,93.8438,93.3438,93.75,9691.0
1991-07-26,93.6875,94.0938,93.5625,93.7812,13246.0
1991-07-29,93.7812,93.8438,93.5938,93.625,756.0
1991-07-30,93.625,93.7812,93.5312,93.75,1006.0
1991-07-31,93.75,94.125,93.75,94.0938,1505.0
1991-08-01,94.3125,94.3125,93.6875,93.8125,3751.0
